Category,message,Mensagem
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,"Ok, eu já confirmei com o cabeleireiro e ele disse que não vai cortar muito curto. Ele disse que vai cortar até eu ficar bonita."
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589","Como cliente valioso, tenho o prazer de informar que, após uma análise recente do seu número de celular, você foi contemplado com um prêmio bônus de £1500. Ligue para 09066364589."
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...","Hoje é o ""dia da música dedicada..."" Qual música você vai dedicar para mim? Envie isso para todos os seus amigos queridos, mas primeiro me responda..."
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","Urgente UR premiado com uma viagem gratuita para a EuroDisinc Trav, Aco&Entry41 ou £1000. Para resgatar, envie um SMS com DIS para 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!","Você já ouviu falar da nova ""Barbie do Divórcio""? Ela vem com todos os pertences do Ken!"
ham,I plane to give on this month end.,Planejo fazer a doação no final deste mês.
ham,Wah lucky man... Then can save money... Hee...,Que homem sortudo... Assim pode economizar dinheiro... Hehe...
ham,Finished class where are you.,"A aula terminou, onde você está?"
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,"Oi, amor, estou em casa agora. Quer fazer alguma coisa? XX"
ham,K..k:)where are you?how did you performed?,K..k:)Onde você está?Como foi sua apresentação?
ham,U can call me now...,Você pode me ligar agora...
ham,I am waiting machan. Call me once you free.,"Estou esperando, cara. Me liga quando estiver livre."
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,Que ótimo. Sou um cavalheiro e a tratarei com dignidade e respeito.
ham,I like you peoples very much:) but am very shy pa.,Gosto muito de vocês :) mas sou muito tímido.
ham,Does not operate after  &lt;#&gt;  or what,Não funciona após &lt;#&gt; ou o quê
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,Aqui não é a mesma coisa. Ainda estou procurando emprego. Quanto ganham os assistentes técnicos por aí?
ham,"Sorry, I'll call later","Desculpe, ligo mais tarde."
ham,K. Did you call me just now ah?,K. Você me ligou agora mesmo?
ham,Ok i am on the way to home hi hi,"Ok, estou a caminho de casa. Oi oi."
ham,You will be in the place of that man,Você estará no lugar daquele homem.
ham,Yup next stop.,"Sim, próxima parada."
ham,"I call you later, don't have network. If urgnt, sms me.","Te ligo mais tarde, estou sem sinal. Se for urgente, me mande uma mensagem."
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,"Sério, quando você vai entrar? Só preciso de mais 2 ingressos e mais uma jaqueta e termino. Já usei todos os meus multis."
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,"Sim, comecei a enviar pedidos para fazer isso, mas a dor voltou, então estou de volta à cama. Moedas em dobro na fábrica também. Preciso trocar todos os meus nitros."
ham,I'm really not up to it still tonight babe,"Eu realmente não estou com disposição para isso hoje à noite, amor."
ham,"Ela kano.,il download, come wen ur free..","Ela kano., baixe, venha quando estiver livre .."
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,"Sim, faça isso! Mas não fique muito perto, senão você pode pegar alguma coisa!"
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,"Desculpe incomodar. Podemos nos encontrar outra noite? Passei a tarde no pronto-socorro, o que significa que não fiz nada do que você precisa fazer amanhã, incluindo meus registros de ponto e tudo mais. Desculpe."
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,"Sorria na alegria, sorria na dor, sorria quando os problemas caírem como chuva, sorria quando alguém te magoar, sorria porque alguém ainda ama te ver sorrindo!"
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,"Por favor, ligue para o nosso representante de atendimento ao cliente no número 0800 169 6031 entre as 10h e as 21h, pois você GANHOU um prêmio garantido de £1000 em dinheiro ou £5000!"
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,Não planejo comprar mais tarde. Já verifiquei no Lido e só tem 530 disponíveis à tarde. Você já terminou o trabalho?
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16","Seu toque gratuito está esperando para ser resgatado. Basta enviar a senha ""MIX"" para 85069 para verificar. Receba toques do Usher e da Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
ham,Watching telugu movie..wat abt u?,Assistindo a um filme telugu... e você?
ham,i see. When we finish we have loads of loans to pay,"Entendi. Quando terminarmos, teremos muitas dívidas para pagar."
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""","Oi. A semana foi boa - estou de férias agora! Sim, vou dar uma corridinha. Esqueci que tenho hora marcada no cabeleireiro às quatro, então preciso chegar em casa e tomar banho antes. Isso te causa algum problema?"
ham,I see a cup of coffee animation,Vejo uma animação de uma xícara de café.
ham,Please don't text me anymore. I have nothing else to say.,"Por favor, não me mande mais mensagens. Não tenho mais nada a dizer."
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,"Ok, diga o preço, contanto que seja legal! Quando posso buscá-los? Por que você tem x ams xx"
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,Ainda estou procurando um carro para comprar e ainda não fiz o teste de direção.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"Conforme solicitado, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' foi definida como seu toque de chamada para todos os chamadores. Pressione *9 para copiar o toque de chamada de seus amigos."
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.","Nossa! Você tem razão! Não foi minha intenção. Acho que depois que desisti de procurar homens em Boston e mudei minha localização de busca para Nova York, algo mudou. Porque na minha página de login ainda aparece Boston."
ham,Umma my life and vava umma love you lot dear,"Umma, minha vida, e vava umma, te amo muito, querida."
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,Muito obrigado pelos votos de feliz aniversário. Obrigado por tornar meu aniversário verdadeiramente memorável.
ham,"Aight, I'll hit you up when I get some cash","Beleza, te ligo quando eu tiver um dinheiro."
ham,How would my ip address test that considering my computer isn't a minecraft server,"Como meu endereço IP testaria isso, considerando que meu computador não é um servidor de Minecraft?"
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,"Eu sei! Velhos rabugentos. Minha mãe dizia: ""É melhor você não estar mentindo"". Mas, pensando bem, eu sempre sou a que faz as piadas..."
ham,Dont worry. I guess he's busy.,Não se preocupe. Acho que ele está ocupado.
ham,What is the plural of the noun research?,"Qual é o plural do substantivo ""research""?"
ham,Going for dinner.msg you after.,Vou jantar fora. Te mando mensagem depois.
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,"Não me importo, porque gosto de experimentar coisas novas. Mas tenho medo que você não goste de mim, porque você disse para não falar muito alto."
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,Senhor! Estamos tentando entrar em contato com você. O sorteio do último fim de semana mostrou que você ganhou um prêmio GARANTIDO de £1000. Ligue para 09064012160. Código de resgate K52. Válido por apenas 12 horas. 150ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?","Nossa, sua frase de abertura foi muito formal... Enfim, eu também estou bem, só que estou comendo demais e engordando... Haha... Então, aconteceu alguma coisa especial?"
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","Ao entrar na minha sala, minha assistente disse: ""Feliz aniversário, chefe!"". Me senti especial. Ela me convidou para almoçar. Depois do almoço, ela me convidou para o apartamento dela. Fomos para lá."
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),Você é um vencedor! Você foi especialmente selecionado para receber £1000 ou férias em um hotel 4 estrelas (com voos incluídos). Fale com um atendente para resgatar seu prêmio: 0871277810910p/min (maiores de 18 anos).
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,"Ótimo! Sim, precisamos conversar na sexta-feira - precisamos saber a proporção de ovo e batata para a tortilla!"
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,"Hum... meu tio acabou de me informar que está pagando a escola diretamente. Então, por favor, compre comida."
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,"CONFIDENCIAL! Seu extrato de conta de 2004, referente ao número 07742676969, mostra 786 pontos bônus não resgatados. Para resgatar, ligue para 08719180248. Código de identificação: 45239. Expira em [data de expiração]."
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM","URGENTE! Seu número de celular foi premiado com um bônus de £2000 em 05/09/2003. Esta é nossa última tentativa de contato! Ligue de um telefone fixo: 09064019788, Caixa Postal 42WR29C, 150PPM."
ham,here is my new address -apples&pairs&all that malarky,Aqui está meu novo endereço - apples&pairs&all that malarky
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,"Os números da Vodafone que terminam em 7548 hoje foram selecionados para receber um prêmio de $350. Se você tiver um número correspondente, ligue para 08712300220 e informe o código de resgate 4041 (tarifas padrão)."
ham,I am going to sao mu today. Will be done only at 12,Vou para Sao Mu hoje. Só terminarei às 12h.
ham,Ü predict wat time ü'll finish buying?,Você prevê a que horas terminará de comprar?
ham,"Good stuff, will do.","Ótimo, farei isso."
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.","Só para você saber, Yetunde ainda não enviou dinheiro. Acabei de mandar uma mensagem para ela dizer para não se preocupar em enviar nada. Então, acabou, você não precisa se envolver em nada. Eu não deveria ter te imposto nada em primeiro lugar, então peço desculpas por isso."
ham,Are you there in room.,Você está aí no quarto?
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,"E aí, garota! Como você está? Espero que esteja bem. Eu e Del voltamos! Faz tempo que não nos falamos! Me liga qualquer dia desses. Da Lucyxx"
ham,K..k:)how much does it cost?,K..k:) quanto custa?
ham,I'm home.,Estou em casa.
ham,"Dear, will call Tmorrow.pls accomodate.","Prezado(a), ligarei amanhã. Por favor, considere essa possibilidade."
ham,First answer my question.,"Primeiro, responda à minha pergunta."
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,"Quiz do Sol Semanal! Ganhe um leitor de DVD Sony de primeira linha se souber em que país fica o Algarve! Envie sua resposta por SMS para 82277. £1,50 SP: Tyrone"
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,Quer transar hoje à noite? Quer receber locais reais de encontros sexuais diretamente no seu celular? Junte-se à maior rede de encontros sexuais do Reino Unido enviando GRAVEL para 69888! Nt. ec2a. 31p.msg@150p
ham,I only haf msn. It's yijue@hotmail.com,Eu só tenho MSN. É yijue@hotmail.com
ham,He is there. You call and meet him,Ele está lá. Você liga e o encontra.
ham,No no. I will check all rooms befor activities,"Não, não. Vou verificar todos os quartos antes das atividades."
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,"Você não receberá mais mensagens do serviço de bate-papo. Para serviços hardcore GRATUITOS, envie GO para: 69988. Se não receber nada, você precisa verificar sua idade com sua operadora e tentar novamente."
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,"Peguei c... Estou com preguiça de digitar... Esqueci o ü na aula... Vi uma bolsinha, mas não era muito bonita..."
ham,"K, text me when you're on the way","Ok, me manda uma mensagem quando estiver a caminho."
ham,"Sir, Waiting for your mail.","Senhor, aguardo seu e-mail."
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8","Um doce pensamento: ""Nunca se canse de fazer pequenas coisas para pessoas que você ama..."" Porque... às vezes, essas pequenas coisas ocupam a maior parte dos seus corações... Boa noite!"
ham,I know you are. Can you pls open the back?,"Eu sei que você está. Você pode abrir a parte de trás, por favor?"
ham,Yes see ya not on the dot,"Sim, nos vemos daqui a pouco."
ham,Whats the staff name who is taking class for us?,Qual o nome do funcionário que está ministrando a aula para nós?
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end","FreeMsg Por que você não respondeu à minha mensagem? Sou Randy, sexy, mulher e moro aqui perto. Adoraria receber uma mensagem sua. Netcollex Ltd 08700621170150p por mensagem. Parar para encerrar."
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,"Mãe, ligo depois do check-in. Nossa vida começará no Catar, então, por favor, ore muito."
ham,K..i deleted my contact that why?,"K... eu apaguei meu contato, por quê?"
ham,Sindu got job in birla soft ..,Sindu conseguiu um emprego na Birla Soft...
ham,The wine is flowing and i'm i have nevering..,O vinho está fluindo e eu... eu nunca...
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,"Sim, acho que o cinema é melhor porque não precisa descer até a praça."
ham,Ok... Ur typical reply...,Ok... Sua resposta típica...
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"Conforme solicitado, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' foi definida como seu toque de chamada para todos os chamadores. Pressione *9 para copiar o toque de chamada de seus amigos."
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.","Você está em todo lugar, sujeira, no chão, nas janelas, até na minha camisa. E às vezes, quando abro a boca, você é tudo o que sai. Sonho com um mundo sem você, e aí metade das minhas tarefas também desaparecem. Um tempo de alegria para mim, muitos programas de TV para assistir. Mas acho que, como todas as coisas, você simplesmente precisa existir, como a chuva, o granizo e a neblina, e quando meu tempo aqui acabar, você e eu nos tornaremos um só."
ham,Aaooooright are you at work?,"Certo, você está no trabalho?"
ham,I'm leaving my house now...,Estou saindo de casa agora...
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?","Olá, meu amor. O que você está fazendo? Conseguiu ir àquela entrevista hoje? Você está feliz? Está se comportando bem? Você pensa em mim? Está com saudades?"
